content
Your moms
No its
Thats
Loser
Yeah cuz ur an underclass men
The group shes with would get mad
Whats stopping u
I cant just pull up
Friend whos a girl
I know where she is
Friend
?
Girl
Then go find ur uhhh
Im not playing fucking muse dash
Go find ur girl thing
Oooo actually
Thats my point
We can play muse dash
U should
I am
Imagine not being home rn
More meat
U can do it in both
Flats just bc you can do the pushy thing to make it just meat

Of course sir
my favorite Frat
Alpha Pheta Alpha


Yes chief
Join the movement
Fuck prom
Matt


I hate all of u

No

Stop

TRUE
Kosta just got asked if he was in a frat
Truly disgraceful
Absolutely disgusting behavior
Y
I cant believe you would send that
Wow

or a junior
i think
antonios girlfriend is a senior
Ours is just seniors
Huh
Micah
No juniors and seniors go to prom
Why would he be
maybe antonio is at prom rn lol
thats cool tho
micah is a junior thats why i asked
No outs is juniors and seniors
You can go as a freshman but you have to go with a senior
At solon at least it is
Im pretty sure its just seniors
or is that junior prom or sum
wait do juniors go to prom?
dripped tf out


Niko


Nicr
Were lost in the woods
I LOOK SPIFFY AS HELL
YA BOI IS READY FOR PROM
YEAHHH
YEAHHHH
Play Pok\c3\a9mon go?
Ya know what I do wanna do
Hmm okay nvm
I have no idea how to
Niko do you want to longboard
I PLAY POK\c3\89MON GO EVERY DAT
Rip
I really would but I feel like complete shit rn
Wait does anyone else wanna come
Were gonna play Pok\c3\a9mon go
Me and porter r going to the park
John
John
Matt

"\""actor\"":\""Niko Pitinii\""}]"""
I miss Chester stone




I found some others in the vault

One sec
Og
The oh
Can we get firecracker
Classic video

NOT BOOGIE


Ehh
No its not
But the dress is kinda cringe not gonna lie
True doritos go crazy
Those Doritos hit
Thats so weird
She is the chosen one I eat those literally every day

Matt  \f0\9f\91\8e 
john checj discord

Yo Pierre might wanna keep the door cracked for this one

Andy
Who is baconman1122
Video call ended
Video call started
Your definitely taller or the same height as max
Yeah Im short
I he doesnt ill be there
Ill see
Idk if I can make it
Nvm porter were playing at the price park field
Its fine niko you are taller than max
Are you actually shorter
Poor niko
Softball fields outside the high school
Porter a game may still be on
OH FUCK U
I can see this one
Oops looks like Niko isnt allowed to comment


Your post is unavailable
This post is unavailable


Matt died

Damn
Well Beabs just like bailed on us so we may have to reschedule
I can come play for like 30 mins
Lard
Loard
Indeed is the lords
That is lorde

That photo is classic
Niko dies
Why



Nah they just winning
Wing stop down bad

TRUE
Porter is the average rap hater
I really like it but i see why you didnt
Lmao thats probably cause it was just him rapping for 3 minutes straight
Ngl the first song almost made me turn it off
The production is insane
Im listening to it rn
The album is so good

Ok amari on off season is fire


Whos running the wing stop twitters
Yall

watching seinfeld rn
ill join in a few
Im in voice if anyone wants to listen woth me

in voice
anyone on rn
This is so good

Daym shawty
$40 psa 10
YOOO





 

 
yeah kanye won
oh
He won all the countys
Wait kanyes also red
He won everywhere
Nah kanyes the blue
Video call ended
Video call started
idk what county he lives in but hes a republican
idk
Kanye is in blue right
i dont see cuyahoga
Cuyohaufa wob
the color is the party
the higher the more votes
read the top
What does this mean
thought this was pretty cool

Hola
Niko piinii

Im talking like drake cole kendrick travis level
Neither of them are as big as im talking
thats about it
brockhampton dropped
mf doom just dropped
John I like how ur gift was from the Mormon church
I know
Yeah that question wasnt directed to you
\f0\9f\a4\b7\f0\9f\8f\bb\e2\80\8d\e2\99\82\ef\b8\8f
I feel like im missing a big one
Is this the first huge album drop of the year
unless ur trolling
its john and me i think
Calm down
I did
Also good job
Send me a gift on Pok\c3\a9mon go bitch \f0\9f\94\ab
I just got shot
U should send me one back \f0\9f\98\a9
John I sent u a gift
Thats my code
5781 7649 7524
Name?
ADD ME
YOOOOOO
Im playing pokemon go

Niko look
Lame
Nope
There a fire turtle
Anything is fair game
I thought we were doing the original 3
Turtwig
Tirtwig
You said or grass turtle
Yes
Squirtle is
Bulbasaur is not a trutle
Or grass turtle
What about water turtle
I want charzirrd
No
Get a pikachu
LETS GO
I FOUND CARDS

If enough people
Maybe we can play jackbox after
But i will be there
*john and i
whos gonna listen to new j cole w john and me tn
Wow no one has to anymore wooo

HOLY FUCK
STARWARS
Coupons
He is storing copious amounts of opioids
I promise im not hiding a gun in my hood
I am so sorry
Oh god
You cant wear hats in class
John please take your hood off


I have more
Poggers
"Exam I should say"
DURING MY MATH TEST
100 notifications
This is the equivalent to what it feels like when u stand up too fast

Truth is spoken


I know this isnt supposed to be funny but it is

Yes
Full post
You were supposed to send the last one
Thats the only unfunny one


The agony
What
crunchyliam
Penis muncher
Whos muncher
Thou testes

Muncher
Death
I know who it is

Nooooooooooooooooooooo
Bals
Parodies bals
What are parodies 
Bofa
Gotta candice
Parodies
Wendy
Definitely deez
Sugandese
Sukapon
Johanna volas
Johanna
Dont worry about it
Dragon probs
Not will
Who

John
Were quirky and cool


















Oh whoops one of those just isnt John








Oh no













This is great


















Photo dump
Yikes
June 123 is testing days till 1
How bro
No way you have school in June
I get one day of no mask school
Yoo
I cant wait for June 2nd when mask mandate is gone
I gochu
Portrrf
Portrrf

Show the doctor this
Portrrf
W


Got that direct tv
Yeah
Oh your right its a cable roof satilite
Thats no moon
Is that the moon
Its red
This is really cool
This does put a smile on my face
This is sick
Starwars
Yooooooooooo
Porter changed the chat theme to Star Wars
Good
